T10466	mree; Muntiacus reevesi (Reeves' muntjac)
T10722	ovr; Odocoileus virginianus (white-tailed deer)
T09065	mbez; Moschus berezovskii (Chinese forest musk deer)
T01009	ssc; Sus scrofa (pig)
T02979	cfr; Camelus ferus (Wild Bactrian camel)
T07534	cbai; Camelus bactrianus (Bactrian camel)
T04642	cdk; Camelus dromedarius (Arabian camel)
T08098	vpc; Vicugna pacos (alpaca)
T03086	bacu; Balaenoptera acutorostrata scammoni (minke whale)
T09887	bmus; Balaenoptera musculus (blue whale)
T03090	lve; Lipotes vexillifer (Yangtze River dolphin)
T05247	oor; Orcinus orca (killer whale)
T10760	lalb; Lagenorhynchus albirostris (white-beaked dolphin)
T11080	gmf; Globicephala melas (long-finned pilot whale)
T11117	ddp; Delphinus delphis (saddleback dolphin)
T11893	scoo; Stenella coeruleoalba (striped dolphin)
T12027	pcrs; Pseudorca crassidens (false killer whale)
T05885	dle; Delphinapterus leucas (beluga whale)
T06011	pcad; Physeter macrocephalus (sperm whale)
T07759	psiu; Phocoena sinus (vaquita)
T11058	pphc; Phocoena phocoena (harbor porpoise)
T08872	nasi; Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise)
T11951	hamp; Hyperoodon ampullatus (northern bottlenose whale)
T01058	ecb; Equus caballus (horse)
T04644	epz; Equus przewalskii (Przewalski's horse)
T04645	eai; Equus asinus (ass)
T02920	myb; Myotis brandtii (Brandt's bat)
T02992	myd; Myotis davidii (David's myotis)
T07220	mmyo; Myotis myotis (greater mouse-eared bat)
T07795	mlf; Myotis lucifugus (little brown bat)
T10294	mdt; Myotis daubentonii (Daubenton's bat)
T10762	myum; Myotis yumanensis (Yuma myotis)
T07682	pkl; Pipistrellus kuhlii (Kuhl's pipistrelle)
T09083	efus; Eptesicus fuscus (big brown bat)
T11911	pots; Plecotus auritus (brown big-eared bat)
T05883	mna; Miniopterus natalensis (Natal long-fingered bat)
T05907	dro; Desmodus rotundus (common vampire bat)
T07222	shon; Sturnira hondurensis
T07223	ajm; Artibeus jamaicensis (Jamaican fruit-eating bat)
T07739	pdic; Phyllostomus discolor (pale spear-nosed bat)
T07912	phas; Phyllostomus hastatus (greater spear-nosed bat)
T07221	mmf; Molossus molossus (Pallas's mastiff bat)
T09558	ppam; Pteronotus mesoamericanus (Parnell's mustached bat)
T04661	hai; Hipposideros armiger (great roundleaf bat)
T07722	rfq; Rhinolophus ferrumequinum (greater horseshoe bat)
T12007	rhii; Rhinolophus hipposideros (lesser horseshoe bat)
T02993	pale; Pteropus alecto (black flying fox)
T07511	pgig; Pteropus vampyrus (Indian flying fox)
T07815	pvp; Pteropus vampyrus (large flying fox)
T06036	ray; Rousettus aegyptiacus (Egyptian rousette)
T06054	mjv; Manis javanica (Malayan pangolin)
T07495	tod; Talpa occidentalis (Iberian mole)
T07854	sara; Sorex araneus (European shrew)
T10594	sfum; Sorex fumeus (smoky shrew)
T09902	setr; Suncus etruscus (white-toothed pygmy shrew)
T04351	lav; Loxodonta africana (African savanna elephant)
T05135	tmu; Trichechus manatus latirostris (Florida manatee)
T08707	etf; Echinops telfairi (small Madagascar hedgehog)
